id,Date,Day,Holiday,States
71,18 June 2024,Tuesday,Bakrid / Eid al Adha Holiday,Jammu and Kashmir
72,22 June 2024,Saturday,Sant Guru Kabir Jayanti,"Chhattisgarh, Himachal Pradesh, Haryana and Punjab"
73,30 June 2024,Sunday,Remna Ni,Mizoram
74,5 July 2024,Friday,Guru Hargobind Ji's Birthday,Jammu and Kashmir
75,6 July 2024,Saturday,MHIP Day,Mizoram
76,7 July 2024,Sunday,Ratha Yathra,Odisha
77,8 July 2024,Monday,Behdeinkhlam Festival,Meghalaya
78,13 July 2024,Saturday,Bhanu Jayanti,Sikkim
79,13 July 2024,Saturday,Martyrs' Day,Jammu and Kashmir
80,17 July 2024,Wednesday,Muharram,"National except Arunachal Pradesh, Assam, Chhattisgarh, Dadra and Nagar Haveli,  Daman and Diu, Goa, Haryana, Kerala, Manipur, Meghalaya,  Nagaland, Pondicherry, Punjab, Sikkim, Uttarakhand, and  West Bengal"
81,17 July 2024,Wednesday,U Tirot Sing Day,Meghalaya
82,31 July 2024,Wednesday,Bonalu,Telangana
83,31 July 2024,Wednesday,Shaheed Udham Singh's Martyrdom Day,Haryana
84,7 August 2024,Wednesday,Haryali Teej,Haryana
85,8 August 2024,Thursday,Tendong Lho Rum Faat,Sikkim
86,13 August 2024,Tuesday,Patriots Day,Manipur
87,15 August 2024,Thursday,Independence Day,National
88,15 August 2024,Thursday,Parsi New Year,"Daman and Diu, Dadra and Nagar Haveli, Gujarat & Maharashtra"
89,16 August 2024,Friday,De Jure Transfer Day,Pondicherry
90,19 August 2024,Monday,Raksha Bandhan,"Chhattisgarh, Daman and Diu, Gujarat, Haryana, Madhya Pradesh, Rajasthan,  Uttarakhand & Uttar Pradesh"
91,19 August 2024,Monday,Jhulan Purnima,Odisha
92,26 August 2024,Monday,Janmashtami,"National except Arunachal Pradesh, Assam, Goa, Karnataka,  Kerala, Lakshadweep, Maharashtra, Mizoram, Pondicherry &  West Bengal"
93,5 September 2024,Thursday,Hartalika Teej,Chhattisgarh & Sikkim
94,5 September 2024,Thursday,Tithi of Srimanta Shankardev,Assam
95,7 September 2024,Saturday,Ganesh Chaturthi,"Andhra Pradesh, Daman and Diu, Dadra and Nagar Haveli, Goa, Gujarat, Karnataka,  Maharashtra, Pondicherry, Telangana and Tamil Nadu"
96,8 September 2024,Sunday,Ganesh Chaturthi Holiday,Goa
97,8 September 2024,Sunday,Nuakhai,Odisha
98,13 September 2024,Friday,Ramdev Jayanti,Rajasthan
99,13 September 2024,Friday,Teja Dashmi,Rajasthan
100,14 September 2024,Saturday,First Onam,Kerala
101,15 September 2024,Sunday,Thiruvonam,Kerala
102,16 September 2024,Monday,Eid e Milad,"National except Andaman and Nicobar Islands, Arunachal Pradesh, Assam, Bihar,  Goa, Haryana, Himachal Pradesh, Meghalaya, Punjab, Sikkim, and West Bengal"
103,17 September 2024,Tuesday,Indra Jatra,Sikkim
104,18 September 2024,Wednesday,Sree Narayana Guru Jayanti,Kerala
105,20 September 2024,Friday,Friday Following Eid e Milad,Jammu Kashmir
106,21 September 2024,Saturday,Sree Narayana Guru Samadhi,Kerala
107,23 September 2024,Monday,Heroes Martyrdom Day,Haryana
108,2 October 2024,Wednesday,Mahalaya Amavasye,"Karnataka, Odisha, Tripura, and West Bengal"
109,2 October 2024,Wednesday,Gandhi Jayanti,National
110,3 October 2024,Thursday,First Day of Bathukamma,Telangana
111,3 October 2024,Thursday,Ghatasthapana,Rajasthan
112,3 October 2024,Thursday,Maharaja Agrasen Jayanti,Haryana
113,10 October 2024,Thursday,Maha Saptami,"Meghalaya, Odisha, Sikkim, Tripura and West Bengal"
114,11 October 2024,Friday,Maha Ashtami,"Andhra Pradesh, Arunachal Pradesh, Jharkhand, Meghalaya, Manipur, Odisha,  Rajasthan, Sikkim, Telangana, Tripura and West Bengal"
115,12 October 2024,Saturday,Maha Navami,"Assam, Bihar, Jharkhand, Karnataka, Kerala, Meghalaya,  Nagaland, Odisha, Pondicherry, Sikkim, Tamil Nadu, Tripura,  Uttar Pradesh & West Bengal"
116,13 October 2024,Sunday,Vijaya Dashami,"National except Chandigarh, Dadra and Nagar Haveli, Manipur"
117,13 October 2024,Sunday,Janmostav of Srimanta Shankardev,Assam
118,17 October 2024,Thursday,Lakshmi Puja,"Odisha, Tripura & West Bengal"
119,17 October 2024,Thursday,Maharishi Valmiki Jayanti,"Himachal Pradesh, Haryana, Karnataka, Madhya Pradesh & Punjab"
120,17 October 2024,Thursday,Kati Bihu,Assam
121,31 October 2024,Thursday,Deepavali,"Andhra Pradesh, Goa, Karnataka, Kerala, Pondicherry, Telangana  & Tamil Nadu"
122,31 October 2024,Thursday,Sardar Vallabhbhai Patel Jayanti,Gujarat
123,1 November 2024,Friday,Diwali,"National except Andhra Pradesh, Goa, Karnataka, Kerala,  Pondicherry, Tamil Nadu & Telangana"
124,1 November 2024,Friday,Haryana Day,Haryana
125,1 November 2024,Friday,Kannada Rajyothsava,Karnataka
126,1 November 2024,Friday,Kut,Manipur
127,1 November 2024,Friday,Puducherry Liberation Day,Pondicherry
128,2 November 2024,Saturday,Deepavali Holiday,"Daman and Diu, Haryana, Karnataka, Rajasthan, Uttarakhand &  Uttar Pradesh"
129,2 November 2024,Saturday,Vikram Samvat New Year,Gujarat
130,3 November 2024,Sunday,Bhai Dooj,"Gujarat, Rajasthan, Sikkim, Uttarakhand, Uttar Pradesh"
131,7 November 2024,Thursday,Chhath Puja,"Assam, Bihar, Chhattisgarh, Jharkhand"
132,15 November 2024,Friday,Guru Nanak Jayanti,"National except Andhra Pradesh, Bihar,Dadra and Nagar Haveli, Daman and Diu,  Goa, Karnataka, Kerala, Manipur, Meghalaya, Odisha,  Pondicherry, Sikkim, Tamil Nadu and Tripura"
133,15 November 2024,Friday,Karthika Purnima,Odisha and Telangana
134,18 November 2024,Monday,Kanakadasa Jayanti,Karnataka
135,22 November 2024,Friday,Lhabab Duchen,Sikkim
136,23 November 2024,Saturday,Seng Kut Snem,Meghalaya
137,1 December 2024,Sunday,Indigenous Faith Day,Arunachal pradesh
138,3 December 2024,Tuesday,Feast of St Francis Xavier,Goa
139,5 December 2024,Thursday,Sheikh Muhammad Abdullah Jayanti,Jammu and Kashmir
140,6 December 2024,Friday,Sri Guru Teg Bahadur Ji's Martyrdom Day,Punjab
141,12 December 2024,Thursday,Pa Togan Nengminza Sangma,Meghalaya
142,18 December 2024,Wednesday,Death Anniversary of U SoSo Tham,Meghalaya
143,18 December 2024,Wednesday,Guru Ghasidas Jayanti,Chhattisgarh
144,19 December 2024,Thursday,Liberation Day,"Daman and Diu, Goa"
145,24 December 2024,Tuesday,Christmas Holiday,Meghalaya and Mizoram
146,25 December 2024,Wednesday,Christmas Day,National
147,26 December 2024,Thursday,Christmas Holiday,Meghalaya and Telangana
148,26 December 2024,Thursday,Shaheed Udham Singh Jayanti,Haryana
149,30 December 2024,Monday,Tamu Losar,Sikkim
150,30 December 2024,Monday,U Kiang Nangbah,Meghalaya
151,31 December 2024,Tuesday,New Year's Eve,Manipur and Mizoram
